feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,2.386153221130371,0.9968569278717041,2.422776222229004,0.9967597126960754,-0.03662300109863281
price_only,1,3,3.369014263153076,0.9936900734901428,3.33290696144104,0.9938246011734009,0.03610730171203613
price_only,1,5,4.05353307723999,0.9908004999160767,4.176811695098877,0.9902324676513672,-0.12327861785888672
price_only,1,10,5.5088019371032715,0.982707679271698,5.639897346496582,0.9818748831748962,-0.13109540939331055
price_only,1,15,6.500063896179199,0.9755275845527649,6.581846237182617,0.9749078750610352,-0.08178234100341797
price_plus_sentiment,5,1,2.5222411155700684,0.9964882135391235,3.1709694862365723,0.9944494366645813,-0.6487283706665039
price_plus_sentiment,5,3,3.4866936206817627,0.9932416081428528,4.139316082000732,0.9904747605323792,-0.6526224613189697
price_plus_sentiment,5,5,4.652688503265381,0.9878799319267273,4.685813903808594,0.9877067804336548,-0.03312540054321289
price_plus_sentiment,5,10,6.295833110809326,0.9774137139320374,6.063226222991943,0.9790518283843994,0.2326068878173828
price_plus_sentiment,5,15,7.040763854980469,0.9712868332862854,7.101081848144531,0.9707927703857422,-0.0603179931640625
