model,h,rmse_level,r2_level
LSTM,1,2.4431232452392577,0.9826952755451203
LSTM,3,3.4766524195671082,0.9642770767211915
LSTM,5,4.2648891538381575,0.9464464664459229
LSTM,10,6.373527097702026,0.8894473522901535
LSTM,15,6.9548096597194675,0.8478033035993576
xLSTM,1,3.8132872700691225,0.951369297504425
xLSTM,3,4.40518564581871,0.9477598607540131
xLSTM,5,5.0130431920289995,0.9341486483812332
xLSTM,10,6.298856508731842,0.8846768945455551
xLSTM,15,7.311986243724823,0.83076793551445
