h,rmse_level,r2_level
1,3.12820525765419,0.9670322865247727
3,3.9409190326929093,0.9560184687376022
5,4.6389661729335785,0.940297557413578
10,6.336191803216934,0.8870621234178543
15,7.133397951722145,0.8392856195569038
