model,F,rmse_level,r2_level
LSTM,F1,4.341111564636231,0.9337102699279786
LSTM,F5,5.064089065790176,0.9185575199127197
xLSTM,F1,4.315516858100891,0.9353995370864868
xLSTM,F5,6.421426686048508,0.8840895175933838
