F,h,rmse_level,r2_level
F1,1,2.3863715529441833,0.9832479298114777
F1,3,3.343373942375183,0.9653749674558639
F1,5,3.987690132856369,0.9514594405889512
F1,10,5.380384117364883,0.9098028481006623
F1,15,6.543751311302185,0.8628893315792083
F5,1,3.870038962364197,0.9508166432380676
F5,3,4.538464123010636,0.9466619700193405
F5,5,5.290242213010788,0.929135674238205
F5,10,7.291999489068985,0.8643213987350464
F5,15,7.723044592142105,0.8156819075345993
