h,model,F,rmse_mean,rmse_std,r2_mean,r2_std
1,LSTM,F1,2.3697102427482606,1.4053508083559465,0.9838394165039063,0.014386868951178473
1,LSTM,F5,2.516556221246719,1.4499484805209293,0.9815508127212524,0.016636352957625267
1,xLSTM,F1,2.403027892112732,1.3324892212485326,0.9826564967632294,0.015561899352543106
1,xLSTM,F5,5.22354645729065,5.681929548252018,0.9200821042060852,0.11275912367090828
3,LSTM,F1,3.3557759821414948,1.824750131332816,0.9654057323932648,0.030644470489907608
3,LSTM,F5,3.5974849998950957,2.1677194284742045,0.9631479203701019,0.03187494655819552
3,xLSTM,F1,3.330986922979355,1.7804537191672134,0.9653440773487091,0.029635488346860375
3,xLSTM,F5,5.4793843030929565,5.795844765820749,0.9301756381988525,0.059036388798950096
5,LSTM,F1,3.963079905509949,2.1813183027995318,0.9521343529224395,0.042243093674352875
5,LSTM,F5,4.566785478591919,2.8838283744035462,0.9407601952552795,0.05371796762797514
5,xLSTM,F1,4.012300759553909,2.165555834539963,0.9507845163345336,0.042340094502095874
5,xLSTM,F5,6.013785290718078,5.836095304456596,0.9175127923488617,0.0680408358007774
10,LSTM,F1,5.405747544765473,2.9797492635657856,0.9097847104072571,0.0768371622385287
10,LSTM,F5,7.341147005558014,6.545376016064075,0.8691115498542785,0.11559317781777805
10,xLSTM,F1,5.355021393299102,2.836998409133985,0.9098209500312805,0.07813113822630872
10,xLSTM,F5,7.242691445350647,6.066003788578298,0.8595328330993652,0.13004800203861722
15,LSTM,F1,6.611200964450836,3.4873978535340058,0.8573887586593628,0.12696550701275913
15,LSTM,F5,7.298537492752075,3.9992999282689228,0.8382188558578492,0.13348335700493222
15,xLSTM,F1,6.476247262954712,3.5045181846788087,0.868391627073288,0.11219833116148063
15,xLSTM,F5,8.147725117206573,5.469805610432633,0.7931442260742188,0.20645769651300191
