feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,0.571593701839447,0.9806825518608093,0.597474217414856,0.9788936376571655,-0.025880515575408936
price_only,1,3,0.8150955438613892,0.960719883441925,0.8339705467224121,0.9588795900344849,-0.01887500286102295
price_only,1,5,0.9770390391349792,0.9435954689979553,0.9781964421272278,0.9434617757797241,-0.0011574029922485352
price_only,1,10,1.3464322090148926,0.8931987285614014,1.3497246503829956,0.8926758170127869,-0.0032924413681030273
price_only,1,15,1.6975146532058716,0.830937385559082,1.6474419832229614,0.8407641649246216,0.050072669982910156
price_plus_sentiment,5,1,0.5789687037467957,0.9801807999610901,0.6673898100852966,0.9736649394035339,-0.08842110633850098
price_plus_sentiment,5,3,0.8228943347930908,0.9599646329879761,1.0413005352020264,0.935892641544342,-0.21840620040893555
price_plus_sentiment,5,5,0.9980185031890869,0.9411471486091614,1.0729838609695435,0.9319737553596497,-0.07496535778045654
price_plus_sentiment,5,10,1.4420723915100098,0.8774871826171875,1.3928591012954712,0.8857064843177795,0.049213290214538574
price_plus_sentiment,5,15,1.8041245937347412,0.809035062789917,1.7174590826034546,0.8269413709640503,0.08666551113128662
