feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,5.657228946685791,0.9941244721412659,5.397006034851074,0.9946525692939758,0.2602229118347168
price_only,1,3,7.439111232757568,0.989847719669342,7.338172912597656,0.9901213645935059,0.10093832015991211
price_only,1,5,8.844572067260742,0.9856483340263367,8.835951805114746,0.9856762886047363,0.008620262145996094
price_only,1,10,12.128457069396973,0.972991943359375,11.59401798248291,0.9753196835517883,0.5344390869140625
price_only,1,15,14.16858959197998,0.9631454944610596,14.305631637573242,0.9624291062355042,-0.13704204559326172
price_plus_sentiment,5,1,5.750516414642334,0.9939291477203369,20.819162368774414,0.9204273223876953,-15.06864595413208
price_plus_sentiment,5,3,8.619538307189941,0.9863702654838562,21.4993896484375,0.9152045249938965,-12.879851341247559
price_plus_sentiment,5,5,11.486685752868652,0.975793182849884,21.824111938476562,0.9126181602478027,-10.33742618560791
price_plus_sentiment,5,10,24.88319969177246,0.8863171339035034,23.456605911254883,0.8989787101745605,1.4265937805175781
price_plus_sentiment,5,15,15.717544555664062,0.9546469449996948,21.820985794067383,0.9125850200653076,-6.10344123840332
