Date,Close,pos_mean,neut_mean,neg_mean,news_count
2009-09-25,12.07240867614746,0.02888154797255993,0.0751170814037323,0.896001398563385,1.0
2009-09-28,12.146523475646973,0.0,0.0,0.0,0.0
2009-09-29,12.37092113494873,0.4546043239533901,0.04039942783614,0.5049962575236956,3.0
2009-09-30,13.319997787475586,0.5410539172589779,0.01762991212308407,0.44131617806851864,3.0
2009-10-01,12.86707878112793,0.0,0.0,0.0,0.0
2009-10-02,12.768260955810549,0.0,0.0,0.0,0.0
2009-10-05,12.924720764160156,0.0,0.0,0.0,0.0
2009-10-06,12.988540649414062,0.0,0.0,0.0,0.0
2009-10-07,13.056478500366213,0.0,0.0,0.0,0.0
2009-10-08,13.180002212524414,0.0,0.0,0.0,0.0
2009-10-09,13.091480255126951,0.0,0.0,0.0,0.0
2009-10-12,13.02148151397705,0.0,0.0,0.0,0.0
2009-10-13,13.11000633239746,0.0,0.0,0.0,0.0
2009-10-14,13.36117172241211,0.0,0.0,0.0,0.0
2009-10-15,13.37352180480957,0.0,0.0,0.0,0.0
2009-10-16,13.402349472045898,0.0,0.0,0.0,0.0
2009-10-19,13.606161117553713,0.0,0.0,0.0,0.0
2009-10-20,13.400287628173828,0.0,0.0,0.0,0.0
2009-10-21,13.330292701721191,0.0,0.0,0.0,0.0
2009-10-22,13.42087459564209,0.0,0.0,0.0,0.0
2009-10-23,13.21088695526123,0.0,0.0,0.0,0.0
2009-10-26,13.12441635131836,0.0,0.0,0.0,0.0
2009-10-27,13.194416046142578,0.0,0.0,0.0,0.0
2009-10-28,12.881489753723145,0.0,0.0,0.0,0.0
2009-10-29,13.116181373596191,0.0,0.0,0.0,0.0
2009-10-30,12.801198959350586,0.0,0.0,0.0,0.0
2009-11-02,12.86707878112793,0.0,0.0,0.0,0.0
2009-11-03,12.900014877319336,0.0,0.0,0.0,0.0
2009-11-04,12.914422988891602,0.0,0.0,0.0,0.0
2009-11-05,13.332350730895996,0.022595854476094246,0.9466115832328796,0.030792605131864548,1.0
2009-11-06,13.29117202758789,0.0,0.0,0.0,0.0
2009-11-09,13.44764232635498,0.0,0.0,0.0,0.0
2009-11-10,13.272648811340332,0.0,0.0,0.0,0.0
2009-11-11,13.36734676361084,0.0,0.0,0.0,0.0
2009-11-12,13.194416046142578,0.0,0.0,0.0,0.0
2009-11-13,13.262348175048828,0.0,0.0,0.0,0.0
2009-11-16,13.608217239379885,0.0,0.0,0.0,0.0
2009-11-17,13.37352180480957,0.0,0.0,0.0,0.0
2009-11-18,13.262348175048828,0.0,0.0,0.0,0.0
2009-11-19,13.085302352905272,0.0,0.0,0.0,0.0
2009-11-20,13.159414291381836,0.46257612109184265,0.046469517052173615,0.49095427989959717,1.0
2009-11-23,13.276762008666992,0.0,0.0,0.0,0.0
2009-11-24,13.282941818237305,0.0,0.0,0.0,0.0
2009-11-25,13.525866508483888,0.0,0.0,0.0,0.0
2009-11-27,13.392056465148926,0.0,0.0,0.0,0.0
2009-11-30,13.359116554260254,0.08724954724311829,0.8503953218460083,0.0623551681637764,1.0
2009-12-01,13.46410846710205,0.0,0.0,0.0,0.0
2009-12-02,13.453811645507812,0.17110659182071686,0.8072801828384399,0.021613221615552902,2.0
2009-12-03,13.369053840637209,0.0,0.0,0.0,0.0
2009-12-04,13.29256820678711,0.1430656760931015,0.848137617111206,0.008796715177595615,1.0
2009-12-07,13.342183113098145,0.0,0.0,0.0,0.0
2009-12-08,13.133389472961426,0.3697972632944584,0.18835639581084251,0.44184629898518324,2.0
2009-12-09,12.806756019592283,0.01695971190929413,0.22754092887043953,0.7554993331432343,2.0
2009-12-10,12.961806297302246,0.0,0.0,0.0,0.0
2009-12-11,13.20160675048828,0.0,0.0,0.0,0.0
2009-12-14,13.263625144958496,0.7585854530334473,0.21513205766677856,0.02628253400325775,1.0
2009-12-15,13.302902221679688,0.8714507222175598,0.01948859915137291,0.10906064510345459,1.0
2009-12-16,13.240884780883787,0.06233453378081322,0.3552602306008339,0.5824052393436432,2.0
2009-12-17,13.075504302978516,0.2443242073059082,0.2223477060906589,0.5333281005732715,4.0
2009-12-18,13.31737232208252,0.38394970167428255,0.15392338085387433,0.46212690802557127,7.0
2009-12-21,13.412467956542969,0.6440959982573986,0.21716130586961904,0.1387427089114984,3.0
2009-12-22,13.4579496383667,0.0,0.0,0.0,0.0
2009-12-23,13.528237342834473,0.070429727435112,0.8703411221504211,0.05922907963395119,1.0
2009-12-24,13.488962173461914,0.0,0.0,0.0,0.0
2009-12-28,13.540642738342283,0.9306085705757141,0.057032566517591476,0.01235884241759777,1.0
2009-12-29,13.68741512298584,0.0,0.0,0.0,0.0
2009-12-30,13.672944068908691,0.0,0.0,0.0,0.0
2009-12-31,13.658475875854492,0.019598664715886116,0.10881176590919495,0.8715896010398865,1.0
2010-01-04,13.509631156921388,0.0,0.0,0.0,0.0
2010-01-05,13.563384056091309,0.0,0.0,0.0,0.0
2010-01-06,13.480690002441406,0.0,0.0,0.0,0.0
2010-01-07,13.612995147705078,0.046877577900886536,0.8787713646888733,0.07435102015733719,1.0
2010-01-08,13.58612060546875,0.0,0.0,0.0,0.0
2010-01-11,13.418671607971191,0.9389990568161011,0.04888390749692917,0.012117007747292519,1.0
2010-01-12,13.400063514709473,0.6699934601783752,0.24363814294338226,0.08636844903230667,1.0
2010-01-13,13.519965171813965,0.0,0.0,0.0,0.0
2010-01-14,13.435213088989258,0.0,0.0,0.0,0.0
2010-01-15,13.31117343902588,0.0,0.0,0.0,0.0
2010-01-19,13.377325057983398,0.0,0.0,0.0,0.0
2010-01-20,13.26776123046875,0.0,0.0,0.0,0.0
2010-01-21,13.1561279296875,0.0,0.0,0.0,0.0
2010-01-22,13.01968765258789,0.0,0.0,0.0,0.0
2010-01-25,13.162327766418455,0.0,0.0,0.0,0.0
2010-01-26,13.176799774169922,0.0,0.0,0.0,0.0
2010-01-27,13.23055362701416,0.0,0.0,0.0,0.0
2010-01-28,13.13132381439209,0.0,0.0,0.0,0.0
2010-01-29,13.17886447906494,0.3661026060581207,0.43992239236831665,0.1939750760793686,1.0
2010-02-01,13.251219749450684,0.0,0.0,0.0,0.0
2010-02-02,13.21607780456543,0.0,0.0,0.0,0.0
2010-02-03,13.23055362701416,0.0,0.0,0.0,0.0
2010-02-04,12.835701942443848,0.5418941974639893,0.4071061313152313,0.05099969729781151,1.0
2010-02-05,12.755078315734863,0.0,0.0,0.0,0.0
2010-02-08,12.672385215759276,0.0,0.0,0.0,0.0
2010-02-09,12.922526359558104,0.3584336042404175,0.5381885766983032,0.1033777967095375,1.0
2010-02-10,12.9494047164917,0.0,0.0,0.0,0.0
2010-02-11,13.013484954833984,0.0,0.0,0.0,0.0
2010-02-12,12.918392181396484,0.0,0.0,0.0,0.0
2010-02-16,13.158195495605469,0.0,0.0,0.0,0.0
2010-02-17,13.329777717590332,0.0,0.0,0.0,0.0
2010-02-18,13.321514129638672,0.09653688967227936,0.882677435874939,0.020785722881555557,1.0
2010-02-19,13.302902221679688,0.06469912081956863,0.6195151805877686,0.315785676240921,1.0
2010-02-22,13.294634819030762,0.023116784170269966,0.9510009288787842,0.025882305577397346,1.0
2010-02-23,13.257423400878906,0.0,0.0,0.0,0.0
2010-02-24,13.422801971435549,0.0,0.0,0.0,0.0
2010-02-25,13.677080154418944,0.9290306568145752,0.05175839364528656,0.019210953265428543,1.0
2010-02-26,13.974764823913574,0.0,0.0,0.0,0.0
2010-03-01,14.107075691223145,0.36905092000961304,0.5004743933677673,0.1304747611284256,1.0
2010-03-02,14.063660621643066,0.0,0.0,0.0,0.0
2010-03-03,13.983036994934082,0.0,0.0,0.0,0.0
2010-03-04,14.037004470825195,0.9514164328575134,0.030401643365621567,0.0181819386780262,1.0
2010-03-05,14.180212020874023,0.0,0.0,0.0,0.0
2010-03-08,14.283989906311035,0.3444073796272278,0.6386945843696594,0.016898086294531822,1.0
2010-03-09,14.306822776794434,0.0,0.0,0.0,0.0
2010-03-10,14.34626007080078,0.0,0.0,0.0,0.0
2010-03-11,14.477018356323242,0.0,0.0,0.0,0.0
2010-03-12,14.508155822753906,0.0,0.0,0.0,0.0
2010-03-15,14.609856605529783,0.9548470377922058,0.022740105167031288,0.022412903606891632,1.0
2010-03-16,14.607781410217283,0.07500935345888138,0.9110747575759888,0.013915926218032837,1.0
2010-03-17,14.711560249328612,0.4844386512413621,0.23463480570353568,0.2809265605174005,4.0
2010-03-18,15.496116638183594,0.6317786993458867,0.21652659063693136,0.15169469901593402,16.0
2010-03-19,15.259504318237305,0.02782001867890358,0.01572762932628393,0.9564523458480835,5.0
2010-03-22,15.334222793579102,0.9203570485115051,0.0628935769200325,0.016749419271945953,2.0
2010-03-23,15.46083641052246,0.8348991870880127,0.0744035392999649,0.09069722890853882,1.0
2010-03-24,15.230446815490724,0.0,0.0,0.0,0.0
2010-03-25,15.269886016845703,0.3640510644763708,0.15274991979822516,0.4831990394741297,4.0
2010-03-26,15.336302757263184,0.0,0.0,0.0,0.0
2010-03-29,15.352904319763184,0.6494646221399307,0.1764819286763668,0.17405345290899277,2.0
2010-03-30,15.319698333740234,0.0,0.0,0.0,0.0
2010-03-31,15.255355834960938,0.0,0.0,0.0,0.0
2010-04-01,15.361209869384766,0.0,0.0,0.0,0.0
2010-04-05,15.381962776184082,0.0,0.0,0.0,0.0
2010-04-06,15.34045124053955,0.19689635932445526,0.773479163646698,0.029624467715620995,1.0
2010-04-07,15.27403450012207,0.046067189425230026,0.6011366248130798,0.3527962267398834,1.0
2010-04-08,15.357054710388184,0.0,0.0,0.0,0.0
2010-04-09,15.604044914245604,0.654986560344696,0.3252812623977661,0.019732194021344185,1.0
2010-04-12,15.6766996383667,0.0,0.0,0.0,0.0
2010-04-13,15.672542572021484,0.0,0.0,0.0,0.0
2010-04-14,15.7327299118042,0.0,0.0,0.0,0.0
2010-04-15,15.699529647827148,0.0,0.0,0.0,0.0
2010-04-16,15.601974487304688,0.0,0.0,0.0,0.0
2010-04-19,15.6870698928833,0.0,0.0,0.0,0.0
2010-04-20,15.84896755218506,0.0,0.0,0.0,0.0
2010-04-21,15.92368221282959,0.0,0.0,0.0,0.0
2010-04-22,16.23709487915039,0.0,0.0,0.0,0.0
2010-04-23,16.16860008239746,0.0,0.0,0.0,0.0
2010-04-26,16.193506240844727,0.9357027411460876,0.02174687199294567,0.0425504595041275,1.0
2010-04-27,15.927834510803224,0.0,0.0,0.0,0.0
2010-04-28,15.865567207336426,0.23211370408535004,0.028663886711001396,0.7392224073410034,1.0
2010-04-29,16.10011100769043,0.8921718001365662,0.09069892019033432,0.017129238694906235,1.0
2010-04-30,15.755563735961914,0.0,0.0,0.0,0.0
2010-05-03,16.141618728637695,0.0,0.0,0.0,0.0
2010-05-04,16.05443572998047,0.1451772004365921,0.8407482504844666,0.014074500650167465,1.0
2010-05-05,15.610274314880373,0.7834405303001404,0.034257397055625916,0.18230199813842773,1.0
2010-05-06,15.006287574768066,0.9040608406066895,0.08768132328987122,0.008257817476987839,1.0
2010-05-07,14.655515670776367,0.0,0.0,0.0,0.0
2010-05-10,15.909156799316406,0.8741032779216766,0.09936980344355106,0.026526943314820528,2.0
2010-05-11,15.86349105834961,0.0,0.0,0.0,0.0
2010-05-12,16.158222198486328,0.0,0.0,0.0,0.0
2010-05-13,15.680835723876951,0.0,0.0,0.0,0.0
2010-05-14,15.305168151855469,0.0,0.0,0.0,0.0
2010-05-17,15.28233814239502,0.0,0.0,0.0,0.0
2010-05-18,15.137042999267578,0.0,0.0,0.0,0.0
2010-05-19,14.995909690856934,0.261749804019928,0.0311441607773304,0.7071059942245483,1.0
2010-05-20,14.59324836730957,0.5966691970825195,0.16947297751903534,0.23385778069496155,1.0
2010-05-21,14.817415237426758,0.0,0.0,0.0,0.0
2010-05-24,14.807040214538574,0.0,0.0,0.0,0.0
2010-05-25,15.132893562316896,0.09111905843019485,0.8360984921455383,0.07278242707252502,1.0
2010-05-26,15.051945686340332,0.0,0.0,0.0,0.0
2010-05-27,15.338376998901367,0.0,0.0,0.0,0.0
2010-05-28,15.02288818359375,0.0,0.0,0.0,0.0
2010-06-01,14.773826599121094,0.0,0.0,0.0,0.0
2010-06-02,15.15157699584961,0.31778382509946823,0.10908383876085281,0.573132336139679,2.0
2010-06-03,15.339068412780762,0.0,0.0,0.0,0.0
2010-06-04,14.74325942993164,0.0,0.0,0.0,0.0
2010-06-07,14.497430801391602,0.5986742824316025,0.11426040902733803,0.2870653122663498,2.0
2010-06-08,14.637014389038086,0.0,0.0,0.0,0.0
2010-06-09,14.584928512573242,0.0,0.0,0.0,0.0
2010-06-10,14.947418212890623,0.0,0.0,0.0,0.0
2010-06-11,15.068243026733398,0.0,0.0,0.0,0.0
2010-06-14,15.045327186584473,0.0,0.0,0.0,0.0
2010-06-15,15.411986351013184,0.0,0.0,0.0,0.0
2010-06-16,15.380733489990234,0.10781724750995636,0.8785313367843628,0.013651403598487377,1.0
2010-06-17,15.534899711608888,0.0,0.0,0.0,0.0
2010-06-18,15.61197566986084,0.0,0.0,0.0,0.0
2010-06-21,15.489066123962402,0.009191411547362804,0.018151817843317986,0.9726567268371582,1.0
2010-06-22,15.095327377319336,0.8146952986717224,0.15569821000099182,0.029606498777866364,1.0
2010-06-23,15.107827186584473,0.3978519765660167,0.0381992407143116,0.5639487560838461,5.0
2010-06-24,14.50576114654541,0.0987722637752692,0.022533507500257757,0.8786942230330573,9.0
2010-06-25,14.607843399047852,0.00941079668700695,0.018662843853235245,0.9719263911247253,1.0
2010-06-28,14.687006950378418,0.0,0.0,0.0,0.0
2010-06-29,14.20160961151123,0.0,0.0,0.0,0.0
2010-06-30,14.072443008422852,0.0,0.0,0.0,0.0
2010-07-01,14.180777549743652,0.0,0.0,0.0,0.0
2010-07-02,14.1370267868042,0.0,0.0,0.0,0.0
2010-07-06,14.001617431640623,0.0,0.0,0.0,0.0
2010-07-07,14.282855987548828,0.0,0.0,0.0,0.0
2010-07-08,14.64117431640625,0.0,0.0,0.0,0.0
2010-07-09,14.61410427093506,0.0,0.0,0.0,0.0
2010-07-12,14.543264389038086,0.0,0.0,0.0,0.0
2010-07-13,14.68076515197754,0.0,0.0,0.0,0.0
2010-07-14,14.69533920288086,0.0,0.0,0.0,0.0
2010-07-15,14.718257904052734,0.0,0.0,0.0,0.0
2010-07-16,14.366182327270508,0.0,0.0,0.0,0.0
2010-07-19,14.293277740478516,0.20590336620807648,0.7831794619560242,0.01091709267348051,1.0
2010-07-20,14.549510955810549,0.0,0.0,0.0,0.0
2010-07-21,14.509927749633787,0.0,0.0,0.0,0.0
2010-07-22,14.907835960388184,0.0,0.0,0.0,0.0
2010-07-23,15.15366268157959,0.0,0.0,0.0,0.0
2010-07-26,15.253646850585938,0.0,0.0,0.0,0.0
2010-07-27,15.349485397338867,0.0,0.0,0.0,0.0
2010-07-28,15.230743408203123,0.0,0.0,0.0,0.0
2010-07-29,15.3182373046875,0.0,0.0,0.0,0.0
2010-07-30,15.34115505218506,0.0,0.0,0.0,0.0
2010-08-02,15.482812881469728,0.0,0.0,0.0,0.0
2010-08-03,15.22865390777588,0.0,0.0,0.0,0.0
2010-08-04,15.41615104675293,0.0,0.0,0.0,0.0
2010-08-05,15.428647994995115,0.0,0.0,0.0,0.0
2010-08-06,15.407822608947754,0.0,0.0,0.0,0.0
2010-08-09,15.44115161895752,0.0,0.0,0.0,0.0
2010-08-10,15.39739990234375,0.0,0.0,0.0,0.0
2010-08-11,15.016169548034668,0.0,0.0,0.0,0.0
2010-08-12,14.89950466156006,0.0,0.0,0.0,0.0
2010-08-13,14.70367431640625,0.0,0.0,0.0,0.0
2010-08-16,14.803672790527344,0.17776797711849213,0.8010042309761047,0.02122787944972515,1.0
2010-08-17,14.939085006713867,0.0,0.0,0.0,0.0
2010-08-18,15.04949951171875,0.0,0.0,0.0,0.0
2010-08-19,14.86201000213623,0.09145072847604752,0.5823769569396973,0.3261723518371582,1.0
2010-08-20,14.845342636108398,0.0,0.0,0.0,0.0
2010-08-23,14.780756950378418,0.0,0.0,0.0,0.0
2010-08-24,14.593259811401367,0.007429621648043394,0.020371396094560623,0.9721989631652832,1.0
2010-08-25,14.609926223754885,0.0,0.0,0.0,0.0
2010-08-26,14.66409397125244,0.09679008275270462,0.39708709716796875,0.5061228275299072,1.0
2010-08-27,14.778678894042969,0.0,0.0,0.0,0.0
2010-08-30,14.657843589782717,0.0,0.0,0.0,0.0
2010-08-31,14.582845687866213,0.0,0.0,0.0,0.0
2010-09-01,15.026577949523926,0.04384685680270195,0.9267585873603821,0.029394645243883133,1.0
2010-09-02,15.256604194641112,0.0,0.0,0.0,0.0
2010-09-03,15.52635383605957,0.0,0.0,0.0,0.0
2010-09-07,15.47825527191162,0.16079780086874962,0.7956111133098602,0.04359106160700321,2.0
2010-09-08,15.503351211547852,0.0,0.0,0.0,0.0
2010-09-09,15.457347869873049,0.0,0.0,0.0,0.0
2010-09-10,15.421795845031738,0.0,0.0,0.0,0.0
2010-09-13,15.616266250610352,0.8971246480941772,0.04334382712841034,0.05953146517276764,1.0
2010-09-14,15.739643096923828,0.016619976609945297,0.031977567821741104,0.951402485370636,1.0
2010-09-15,16.00939178466797,0.34232594072818756,0.4761965274810791,0.1814775913953781,2.0
2010-09-16,16.026123046875,0.9295992851257324,0.053624555468559265,0.016776246950030327,1.0
2010-09-17,16.155773162841797,0.9122942090034485,0.07480083405971527,0.012904946692287922,1.0
2010-09-20,16.387880325317383,0.38666989654302597,0.30312271664539975,0.3102074010918538,3.0
2010-09-21,16.245691299438477,0.045848727226257324,0.04739316925406456,0.9067581295967102,1.0
2010-09-22,16.166223526000977,0.07089557498693466,0.2525503933429718,0.6765540242195129,1.0
2010-09-23,16.241504669189453,0.4824463754064507,0.1919624631603559,0.3255911599844694,9.0
2010-09-24,16.638811111450195,0.4751212635698418,0.022107292121897142,0.5027714405829707,6.0
2010-09-27,16.542621612548828,0.0,0.0,0.0,0.0
2010-09-28,16.862560272216797,0.0,0.0,0.0,0.0
2010-09-29,16.714094161987305,0.3588251769542694,0.6314923763275146,0.00968245230615139,1.0
2010-09-30,16.75800132751465,0.03471226617693901,0.3847361207008362,0.5805516242980957,1.0
2010-10-01,16.781003952026367,0.0,0.0,0.0,0.0
2010-10-04,16.70363426208496,0.0,0.0,0.0,0.0
2010-10-05,17.000574111938477,0.9387281537055969,0.03634190559387207,0.02493005059659481,1.0
2010-10-06,17.00266456604004,0.010643785819411278,0.018076295033097267,0.9712799787521362,1.0
2010-10-07,16.935739517211914,0.0,0.0,0.0,0.0
2010-10-08,17.15531349182129,0.0,0.0,0.0,0.0
2010-10-11,17.14276695251465,0.0,0.0,0.0,0.0
2010-10-12,17.123939514160156,0.6863142251968384,0.30314936116337776,0.010536414105445147,2.0
2010-10-13,17.151126861572266,0.0,0.0,0.0,0.0
2010-10-14,17.098846435546875,0.0,0.0,0.0,0.0
2010-10-15,17.14694595336914,0.0,0.0,0.0,0.0
2010-10-18,17.075847625732422,0.0,0.0,0.0,0.0
2010-10-19,16.881380081176758,0.0,0.0,0.0,0.0
2010-10-20,16.988021850585938,0.0,0.0,0.0,0.0
2010-10-21,17.16994857788086,0.0,0.0,0.0,0.0
2010-10-22,17.130220413208008,0.04154558479785919,0.8952988982200623,0.06315551698207855,1.0
2010-10-25,17.15739631652832,0.1437825970351696,0.8444581627845764,0.01175928208976984,2.0
2010-10-26,17.10931396484375,0.1986683296660582,0.7103466093540192,0.09098507805416982,3.0
2010-10-27,16.944114685058594,0.02302693761885166,0.9398055076599121,0.037167564034461975,1.0
2010-10-28,16.960838317871094,0.0,0.0,0.0,0.0
2010-10-29,17.02985191345215,0.0,0.0,0.0,0.0
2010-11-01,16.958751678466797,0.0,0.0,0.0,0.0
2010-11-02,17.09467124938965,0.0,0.0,0.0,0.0
2010-11-03,17.111400604248047,0.0,0.0,0.0,0.0
2010-11-04,17.441789627075195,0.0,0.0,0.0,0.0
2010-11-05,17.58816909790039,0.0,0.0,0.0,0.0
2010-11-08,17.483623504638672,0.0,0.0,0.0,0.0
2010-11-09,17.39787483215332,0.0,0.0,0.0,0.0
2010-11-10,17.540069580078125,0.0,0.0,0.0,0.0
2010-11-11,17.496156692504883,0.0,0.0,0.0,0.0
2010-11-12,17.276592254638672,0.0,0.0,0.0,0.0
2010-11-15,17.105121612548828,0.06225663796067238,0.9132307767868042,0.024512603878974915,1.0
2010-11-16,16.835378646850586,0.0,0.0,0.0,0.0
2010-11-17,17.01938819885254,0.0,0.0,0.0,0.0
2010-11-18,17.24522590637207,0.9506597220897675,0.030488889664411545,0.018851409666240215,2.0
2010-11-19,17.943653106689453,0.3267340113719304,0.658001979192098,0.015263969078660011,3.0
2010-11-22,17.966657638549805,0.2694500297307968,0.6895608946681022,0.040989065729081633,5.0
2010-11-23,17.828643798828125,0.5001916587352753,0.4381544888019562,0.06165385618805885,2.0
2010-11-24,18.094209671020508,0.33159038114051026,0.6499674407144388,0.01844219242533048,3.0
2010-11-26,17.97500991821289,0.9501923620700836,0.03077085129916668,0.01903675775974989,2.0
2010-11-29,17.807741165161133,0.0,0.0,0.0,0.0
