Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,4.665720868315441,4.689374711191926,4.517883989408419,4.5533647537231445,8014400,0.0,0.0
2000-01-04 00:00:00-05:00,4.4469248698307915,4.476492550373223,4.293174807841961,4.305001735687256,9810400,0.0,0.0
2000-01-05 00:00:00-05:00,4.328653246396548,4.577018596599628,4.328653246396548,4.5533647537231445,6542400,0.0,0.0
2000-01-06 00:00:00-05:00,4.529712677001953,4.529712677001953,4.405530314410152,4.529712677001953,4891200,0.0,0.0
2000-01-07 00:00:00-05:00,4.511972648856673,4.541539603051567,4.44692419465466,4.529712677001953,3993600,0.0,0.0
2000-01-10 00:00:00-05:00,4.553365889299002,4.630241258748724,4.541538964911212,4.6065874099731445,3946400,0.0,0.0
2000-01-11 00:00:00-05:00,4.671637446489777,4.943656842108169,4.659810516245499,4.837214469909668,10976000,0.0,0.0
2000-01-12 00:00:00-05:00,4.81355922674831,4.825386153595357,4.647982250889646,4.67163610458374,10050400,0.0,0.0
2000-01-13 00:00:00-05:00,4.642071339809263,4.772167596542204,4.582936677657926,4.730772972106934,5144800,0.0,0.0
2000-01-14 00:00:00-05:00,4.789904837714149,4.90817409296635,4.766250986663708,4.854953289031982,7680800,0.0,0.0
2000-01-18 00:00:00-05:00,4.801732475374951,4.884520966329692,4.736684736268261,4.789905548095703,8356000,0.0,0.0
2000-01-19 00:00:00-05:00,4.896348883988501,5.061925899389078,4.866781920739077,4.996878147125244,10299200,0.0,0.0
2000-01-20 00:00:00-05:00,5.0382713960019085,5.050098324161538,4.8490405454478465,4.878608226776123,5103200,0.0,0.0
2000-01-21 00:00:00-05:00,4.878607286861924,4.878607286861924,4.778078055943872,4.79581880569458,10265600,0.0,0.0
2000-01-24 00:00:00-05:00,4.69528952244869,4.754424151194896,4.6598087452009676,4.701203346252441,5733600,0.0,0.0
2000-01-25 00:00:00-05:00,4.689377558453384,4.742598376310695,4.588848304260722,4.624329090118408,3823200,0.0,0.0
2000-01-26 00:00:00-05:00,4.364134734327143,4.707115512905698,4.364134734327143,4.683461666107178,12886400,0.0,0.0
2000-01-27 00:00:00-05:00,4.541540236700149,4.600674875198848,4.387790176603529,4.470578670501709,6304000,0.0,0.0
2000-01-28 00:00:00-05:00,4.446924143473307,4.446924143473307,4.352308736165365,4.4350972175598145,3556000,0.0,0.0
2000-01-31 00:00:00-05:00,4.352309447068434,4.37005019976557,4.2990886326938025,4.305001735687256,4627200,0.0,0.0
2000-02-01 00:00:00-05:00,4.299087714726643,4.4587508456166915,4.281346965817619,4.417356967926025,5971200,0.0,0.0
2000-02-02 00:00:00-05:00,4.4114435377706664,4.588847433391471,4.370049656388296,4.488318920135498,5572800,0.0,0.0
2000-02-03 00:00:00-05:00,4.476491870707832,4.529712677001953,4.405530314410152,4.529712677001953,3973600,0.0,0.0
2000-02-04 00:00:00-05:00,4.52971239753632,4.52971239753632,4.411443144336939,4.417356967926025,12485600,0.0,0.0
2000-02-07 00:00:00-05:00,4.4114454279947015,4.4114454279947015,4.2281283515676575,4.281349182128906,6455200,0.0,0.0
2000-02-08 00:00:00-05:00,4.257693935084987,4.257693935084987,3.417982075665448,3.5007705688476562,65707200,0.0,0.0
2000-02-09 00:00:00-05:00,3.4534623357984753,3.4534623357984753,3.0631737841500173,3.193269968032837,62571200,0.0,0.0
2000-02-10 00:00:00-05:00,3.1577891906102495,3.293799198325966,3.1104814873801336,3.193269968032837,25032800,0.0,0.0
2000-02-11 00:00:00-05:00,3.2287515962825104,3.264232383054846,3.1341361648896164,3.2169246673583984,12644800,0.0,0.0
2000-02-14 00:00:00-05:00,3.1696166828836785,3.22283821945831,3.039520475750393,3.0572612285614014,17859200,0.0,0.0
2000-02-15 00:00:00-05:00,3.0336083688481246,3.039521473821185,2.8621174967499097,2.8798582553863525,30056000,0.0,0.0
2000-02-16 00:00:00-05:00,2.8798566857311294,2.9094236381983354,2.7675005338959777,2.791154384613037,22678400,0.0,0.0
2000-02-17 00:00:00-05:00,2.7734152928636955,2.8266361139971634,2.7261075754746216,2.743847608566284,14977600,0.0,0.0
2000-02-18 00:00:00-05:00,2.7320211455225945,2.7556750082543915,2.59009796913181,2.6492326259613037,26087200,0.0,0.0
2000-02-22 00:00:00-05:00,2.708366768227683,2.7201936973465815,2.554616689682007,2.554616689682007,12847200,0.0,0.0
2000-02-23 00:00:00-05:00,2.672884955831759,2.696538804998412,2.643318005302538,2.6551449298858643,12624800,0.0,0.0
2000-02-24 00:00:00-05:00,2.6492325217820065,2.6551463481617,2.5191362818730685,2.5605309009552,16156800,0.0,0.0
2000-02-25 00:00:00-05:00,2.5546170683569236,2.560530894722222,2.507309344868833,2.513223171234131,14830400,0.0,0.0
2000-02-28 00:00:00-05:00,2.5487021684514857,2.6728844941998813,2.536875245910778,2.637403726577759,16385600,0.0,0.0
2000-02-29 00:00:00-05:00,2.6374050815416163,2.755674367709402,2.6374050815416163,2.690626621246338,12575200,0.0,0.0
2000-03-01 00:00:00-05:00,2.6906268258789594,2.7142806849114844,2.6433191078139093,2.6610591411590576,9884800,0.0,0.0
2000-03-02 00:00:00-05:00,2.68471305522871,2.8325500381419224,2.6610591957112764,2.7852423191070557,11260800,0.0,0.0
2000-03-03 00:00:00-05:00,2.8443768174131154,2.8621168501833654,2.755674487986463,2.7793283462524414,6912800,0.0,0.0
2000-03-06 00:00:00-05:00,2.791155066406518,2.802981994654003,2.6669726807371292,2.6965396404266357,7684800,0.0,0.0
2000-03-07 00:00:00-05:00,2.720192184362711,2.7261060065620972,2.61966370369573,2.637403726577759,9532000,0.0,0.0
2000-03-08 00:00:00-05:00,2.5782690048217773,2.6137497709431776,2.5546151607408434,2.5782690048217773,10000000,0.0,0.0
