Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,23.83500291481785,24.034292850116,22.997987740933212,23.23713493347168,12019200,0.0,0.0
2000-01-04 00:00:00-05:00,22.647116081405088,22.82749134710178,22.186157680693125,22.727283477783203,11723400,0.273333,0.0
2000-01-05 00:00:00-05:00,22.526870976387976,23.26841451395204,22.126037573990573,22.58699607849121,8714550,0.0,0.0
2000-01-06 00:00:00-05:00,22.48679325774586,23.38866999268219,22.366543026421013,22.907669067382812,8369250,0.0,0.0
2000-01-07 00:00:00-05:00,23.28846181832919,23.56904507666519,22.767376265154322,23.32854461669922,6571950,0.0,0.0
2000-01-10 00:00:00-05:00,23.32852557446338,23.528943072465733,22.927692413330078,22.927692413330078,4723500,0.0,0.0
2000-01-11 00:00:00-05:00,22.446698876141006,22.58698951704626,21.885530807904093,22.386573791503906,8405550,0.0,0.0
2000-01-12 00:00:00-05:00,22.34648596284058,22.727278722370155,22.286360886855473,22.5268611907959,7271850,0.0,0.0
2000-01-13 00:00:00-05:00,22.807443899547504,23.24835985761293,22.627068689010322,22.867568969726562,6918900,0.0,0.0
2000-01-14 00:00:00-05:00,23.70931804164559,24.29052639491667,23.34856764964188,23.68927574157715,9731850,0.0,0.0
2000-01-18 00:00:00-05:00,23.70931742833834,23.889692619674292,22.526856617443993,22.767356872558594,5296650,0.0,0.0
2000-01-19 00:00:00-05:00,23.168207721195603,24.170292192165327,23.168207721195603,23.769458770751953,15734700,0.0,0.0
2000-01-20 00:00:00-05:00,24.17029596642603,24.3707136258648,23.32854436560522,23.749420166015625,7770300,0.0,0.0
2000-01-21 00:00:00-05:00,23.689285886318334,23.729368668748965,23.288452557395548,23.388660430908203,5160600,0.0,0.0
2000-01-24 00:00:00-05:00,23.84960924740876,23.90973431428027,23.148150745531613,23.408693313598633,6459150,0.0,0.0
2000-01-25 00:00:00-05:00,23.40869943001606,24.29053336292056,23.40869943001606,23.92978286743164,7579950,0.0,0.0
2000-01-26 00:00:00-05:00,24.170286631907754,25.332705671932015,24.050036449659455,25.15233039855957,8386650,0.0,0.0
2000-01-27 00:00:00-05:00,25.47299188640618,26.134367773451807,25.192408788374408,25.87382698059082,8165850,0.0,0.0
2000-01-28 00:00:00-05:00,25.513068509989328,25.513068509989328,24.571107984916846,24.591150283813477,7500000,0.0,0.0
2000-01-31 00:00:00-05:00,24.631240757439016,26.134367773451807,24.631240757439016,25.87382698059082,7160250,0.0,0.0
2000-02-01 00:00:00-05:00,26.434997474992084,27.096373469577628,26.074246932490876,26.855873107910156,9651000,0.0,0.0
