feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,0.9140065908432007,0.9855501651763916,0.9377242922782898,0.9847905039787292,-0.02371770143508911
price_only,1,3,1.3754057884216309,0.9670884013175964,1.4926995038986206,0.9612357020378113,-0.11729371547698975
price_only,1,5,1.6047730445861816,0.954880952835083,1.7142142057418823,0.9485170841217041,-0.10944116115570068
price_only,1,10,2.18721866607666,0.9147999286651611,2.195300817489624,0.9141690731048584,-0.008082151412963867
price_only,1,15,2.679182767868042,0.8704201579093933,2.647587299346924,0.8734583854675293,0.031595468521118164
price_plus_sentiment,5,1,0.9515070915222168,0.9843401312828064,1.4321483373641968,0.9645234942436218,-0.48064124584198
price_plus_sentiment,5,3,1.3251110315322876,0.969451367855072,2.0224547386169434,0.9288385510444641,-0.6973437070846558
price_plus_sentiment,5,5,1.6912121772766113,0.9498894810676575,2.0467190742492676,0.9266078472137451,-0.35550689697265625
price_plus_sentiment,5,10,2.6155312061309814,0.8781640529632568,2.7104570865631104,0.8691599369049072,-0.0949258804321289
price_plus_sentiment,5,15,2.746981382369995,0.8637789487838745,3.1831181049346924,0.8170896768569946,-0.43613672256469727
